cohort_name,modality,device,task,feature_set,model,seed,metric,ci_low,ci_high,n_bootstrap
core3_same_cohort,fnirs,yiruid,vft,demographics,hist_gradient_boosting,20260707,ece,0.1159522478155763,0.1845817090983025,1000
core3_same_cohort,fnirs,yiruid,vft,demographics,hist_gradient_boosting,20260707,positive_prediction_rate,0.8472012102874432,0.897125567322239,1000
core3_same_cohort,fnirs,yiruid,vft,demographics,logistic_regression,20260707,auroc,0.5297299310141828,0.6231164596839757,1000
core3_same_cohort,fnirs,yiruid,vft,demographics,logistic_regression,20260707,auprc,0.34276544207389537,0.456285734991308,1000
core3_same_cohort,fnirs,yiruid,vft,demographics,logistic_regression,20260707,balanced_accuracy,0.5301004332117056,0.6096525828130138,1000
core3_same_cohort,fnirs,yiruid,vft,demographics,logistic_regression,20260707,macro_f1,0.51431132584973,0.5903686609817664,1000
core3_same_cohort,fnirs,yiruid,vft,demographics,logistic_regression,20260707,sensitivity,0.5278940152598951,0.6548748855660665,1000
core3_same_cohort,fnirs,yiruid,vft,demographics,logistic_regression,20260707,specificity,0.5023682969106547,0.5930272198731501,1000
core3_same_cohort,fnirs,yiruid,vft,demographics,logistic_regression,20260707,accuracy,0.5249243570347958,0.6006051437216339,1000
core3_same_cohort,fnirs,yiruid,vft,demographics,logistic_regression,20260707,brier_score,0.23926183386557334,0.25055706825479584,1000
core3_same_cohort,fnirs,yiruid,vft,demographics,logistic_regression,20260707,ece,0.11953735750187598,0.19197440833832366,1000
core3_same_cohort,fnirs,yiruid,vft,demographics,logistic_regression,20260707,positive_prediction_rate,0.46142208774583965,0.5385779122541604,1000
core3_same_cohort,fnirs,yiruid,vft,demographics,random_forest,20260707,auroc,0.5154793774106198,0.6028421724869367,1000
core3_same_cohort,fnirs,yiruid,vft,demographics,random_forest,20260707,auprc,0.32651581042568306,0.4378005853021822,1000
core3_same_cohort,fnirs,yiruid,vft,demographics,random_forest,20260707,balanced_accuracy,0.5276389103424979,0.5884177656296353,1000
core3_same_cohort,fnirs,yiruid,vft,demographics,random_forest,20260707,macro_f1,0.4291428693145145,0.5024320922983525,1000
core3_same_cohort,fnirs,yiruid,vft,demographics,random_forest,20260707,sensitivity,0.7901785714285714,0.8839285714285714,1000
core3_same_cohort,fnirs,yiruid,vft,demographics,random_forest,20260707,specificity,0.23807967631497043,0.3180879962082023,1000
core3_same_cohort,fnirs,yiruid,vft,demographics,random_forest,20260707,accuracy,0.43566565809379726,0.5098335854765507,1000
core3_same_cohort,fnirs,yiruid,vft,demographics,random_forest,20260707,brier_score,0.23973123923763315,0.25740403617108115,1000
core3_same_cohort,fnirs,yiruid,vft,demographics,random_forest,20260707,ece,0.10975303200693994,0.18388683753125504,1000
core3_same_cohort,fnirs,yiruid,vft,demographics,random_forest,20260707,positive_prediction_rate,0.7307110438729199,0.7927382753403933,1000
core3_same_cohort,fnirs,yiruid,vft,modality,hist_gradient_boosting,20260707,auroc,0.5083806717358884,0.6019027857771682,1000
core3_same_cohort,fnirs,yiruid,vft,modality,hist_gradient_boosting,20260707,auprc,0.34587176000322795,0.4560964016535211,1000
core3_same_cohort,fnirs,yiruid,vft,modality,hist_gradient_boosting,20260707,balanced_accuracy,0.5097484844809453,0.5908937904430064,1000
