cohort_name,modality,device,task,model,seed,model_a,model_b,n_subjects,auroc_diff,auroc_diff_ci_low,auroc_diff_ci_high,auprc_diff,auprc_diff_ci_low,auprc_diff_ci_high,fold_direction_consistency,folds_compared,n_bootstrap
face_two_video_native,face,,two_video,logistic_regression,20260707,face_crop,qc,3567,0.07832763680047017,0.05259397456985504,0.1041180949057567,0.06329923871038778,0.036121769723271614,0.09068523174148858,5,5,1000
face_two_video_native,face,,two_video,logistic_regression,20260707,face_crop,metadata,3567,0.08878855387407625,0.059989098705782326,0.11655966487520601,0.08065965588302226,0.050837151268116824,0.11288573189325285,5,5,1000
face_two_video_native,face,,two_video,logistic_regression,20260707,face_crop,background,3567,0.02612793210278319,0.006905559758073873,0.04552345728089459,0.02546750578909568,-0.00017565531794316007,0.05030386224328345,5,5,1000
face_two_video_native,face,,two_video,logistic_regression,20260707,face_crop,full_frame,3567,-7.959029593451739e-05,-0.0152395091054508,0.01522032837896729,0.008559656769800583,-0.010708525011948102,0.028512309266707087,2,5,1000
fnirs_bikom_1back_native,fnirs,bikom,1back,hist_gradient_boosting,20260707,signal,demographics,985,-0.08157374984495314,-0.12737147248779543,-0.036885036804261605,-0.06942526607938926,-0.10952619451234752,-0.02287481215622192,0,5,1000
fnirs_bikom_1back_native,fnirs,bikom,1back,hist_gradient_boosting,20260707,signal,qc,985,0.010669611762573195,-0.04345533293092967,0.06665896099549698,-0.0005878347380372517,-0.04844664091362572,0.04333183157190535,2,5,1000
fnirs_bikom_1back_native,fnirs,bikom,1back,hist_gradient_boosting,20260707,signal_qc_demographics,signal,985,0.027548255364622465,0.004882311446252288,0.05247576834965856,0.021072369083263542,-0.005459988300326476,0.044986878214137084,4,5,1000
fnirs_bikom_1back_native,fnirs,bikom,1back,logistic_regression,20260707,signal,demographics,985,-0.05829047678113097,-0.11010200125455502,-0.005749123269878747,-0.04319171063712801,-0.09996957119245613,0.019647481882284823,1,5,1000
fnirs_bikom_1back_native,fnirs,bikom,1back,logistic_regression,20260707,signal,qc,985,0.061832702014178564,0.010599571407034127,0.11319775010354355,0.06857377737776249,0.022435804432045833,0.11173139105315688,4,5,1000
fnirs_bikom_1back_native,fnirs,bikom,1back,logistic_regression,20260707,signal_qc_demographics,signal,985,0.010385756676557834,-0.006765151865545044,0.026466184754816918,0.019298139643923795,-0.00011987656338259218,0.03814953292541237,4,5,1000
fnirs_bikom_1back_native,fnirs,bikom,1back,random_forest,20260707,signal,demographics,985,-0.06004369937122511,-0.11076305059535087,-0.009918081951210408,-0.050626827513064576,-0.10069277184181527,0.0003567256511109923,0,5,1000
fnirs_bikom_1back_native,fnirs,bikom,1back,random_forest,20260707,signal,qc,985,0.040407606362170445,-0.011649453645552579,0.09402766118820455,0.030288112069246198,-0.013835944442474577,0.07703787024995608,3,5,1000
fnirs_bikom_1back_native,fnirs,bikom,1back,random_forest,20260707,signal_qc_demographics,signal,985,-0.009841899873100135,-0.03314242988385287,0.013731302363276935,0.008931723854177231,-0.013411951988551229,0.032875778708746146,2,5,1000
fnirs_bikom_rest_native,fnirs,bikom,rest,hist_gradient_boosting,20260707,signal,demographics,1017,-0.09780409639417054,-0.14634179895576618,-0.048213423478078526,-0.07051665005933705,-0.1151807796719943,-0.022404978397631274,0,5,1000
fnirs_bikom_rest_native,fnirs,bikom,rest,hist_gradient_boosting,20260707,signal,qc,1017,0.002056701400078631,-0.04964288077606098,0.05759110941219358,0.006972394999798348,-0.03721173761730553,0.052532425106249024,3,5,1000
fnirs_bikom_rest_native,fnirs,bikom,rest,hist_gradient_boosting,20260707,signal_qc_demographics,signal,1017,0.029156371969778383,-0.002681451390851583,0.06171978475462884,0.021090799151724904,-0.0055625951004884475,0.05279839244577533,4,5,1000
fnirs_bikom_rest_native,fnirs,bikom,rest,logistic_regression,20260707,signal,demographics,1017,-0.10063066208328864,-0.1524705222414595,-0.051565326192736065,-0.1013520837994707,-0.15324105738642024,-0.04831709485282371,0,5,1000
fnirs_bikom_rest_native,fnirs,bikom,rest,logistic_regression,20260707,signal,qc,1017,0.025298098614244258,-0.026289799443470485,0.07638236715132468,0.00862293954119242,-0.03131319637492569,0.053944183298887026,3,5,1000
fnirs_bikom_rest_native,fnirs,bikom,rest,logistic_regression,20260707,signal_qc_demographics,signal,1017,0.03000680345185658,0.005096127300221631,0.05493733370727952,0.014679852183577147,-0.00680134920715964,0.035743309887945295,4,5,1000
fnirs_bikom_rest_native,fnirs,bikom,rest,random_forest,20260707,signal,demographics,1017,-0.082579134887385,-0.13113513134549504,-0.0332414155032717,-0.08087795444213175,-0.12685585692398557,-0.03492921873846169,0,5,1000
fnirs_bikom_rest_native,fnirs,bikom,rest,random_forest,20260707,signal,qc,1017,0.04487145056755115,-0.007173903134892126,0.10136001203357664,0.027177788333609842,-0.009516196664029116,0.07063410390872171,3,5,1000
fnirs_bikom_rest_native,fnirs,bikom,rest,random_forest,20260707,signal_qc_demographics,signal,1017,0.008714684713717946,-0.016833341803707585,0.03561583974551354,0.01181607715113775,-0.008712736978183302,0.03195610925774485,3,5,1000
fnirs_bikom_vft_native,fnirs,bikom,vft,hist_gradient_boosting,20260707,signal,demographics,1022,-0.06520371871359787,-0.11089680970573941,-0.011917809512833217,-0.04681628402452853,-0.09952991320874217,0.004796636287766122,0,5,1000
fnirs_bikom_vft_native,fnirs,bikom,vft,hist_gradient_boosting,20260707,signal,qc,1022,0.059673926042068115,0.012765072388012064,0.11079934876145398,0.04463360621045637,0.0032377043159238133,0.08705219933608414,5,5,1000
