cohort_name,modality,device,task,feature_set,model,seed,feature_count,threshold_type,outer_fold,threshold,n_subjects,n_positive,n_negative,auroc,auprc,balanced_accuracy,macro_f1,sensitivity,specificity,accuracy,brier_score,ece,positive_prediction_rate
eeg_oddball_native,eeg,,oddball,signal_qc_demographics,hist_gradient_boosting,20260707,251,fixed_0_5,4,0.5,365,116,249,0.5928887965655726,0.3737903175824967,0.5699695333056364,0.5361495590396865,0.6379310344827587,0.5020080321285141,0.5452054794520548,0.2445985105691921,0.17867545928958747,0.5424657534246575
eeg_oddball_native,eeg,,oddball,signal_qc_demographics,hist_gradient_boosting,20260707,251,inner_cv,4,0.5,365,116,249,0.5928887965655726,0.3737903175824967,0.5699695333056364,0.5361495590396865,0.6379310344827587,0.5020080321285141,0.5452054794520548,0.2445985105691921,0.17867545928958747,0.5424657534246575
eeg_1back_native,eeg,,1back,no_information,no_information_prior,20260707,0,fixed_0_5,0,0.5,230,72,158,0.5,0.3130434782608696,0.5,0.4072164948453608,0.0,1.0,0.6869565217391305,0.21568052062123208,0.025164690382081634,0.0
eeg_1back_native,eeg,,1back,no_information,no_information_prior,20260707,0,inner_cv,0,0.5,230,72,158,0.5,0.3130434782608696,0.5,0.4072164948453608,0.0,1.0,0.6869565217391305,0.21568052062123208,0.025164690382081634,0.0
eeg_1back_native,eeg,,1back,no_information,no_information_prior,20260707,0,fixed_0_5,1,0.5,230,58,172,0.5,0.25217391304347825,0.5,0.42786069651741293,0.0,1.0,0.7478260869565218,0.19116860302631053,0.050856389986824846,0.0
eeg_1back_native,eeg,,1back,no_information,no_information_prior,20260707,0,inner_cv,1,0.5,230,58,172,0.5,0.25217391304347825,0.5,0.42786069651741293,0.0,1.0,0.7478260869565218,0.19116860302631053,0.050856389986824846,0.0
eeg_1back_native,eeg,,1back,no_information,no_information_prior,20260707,0,fixed_0_5,2,0.5,226,65,161,0.5,0.28761061946902655,0.5,0.4160206718346253,0.0,1.0,0.7123893805309734,0.204933921391122,0.006570415013732067,0.0
eeg_1back_native,eeg,,1back,no_information,no_information_prior,20260707,0,inner_cv,2,0.5,226,65,161,0.5,0.28761061946902655,0.5,0.4160206718346253,0.0,1.0,0.7123893805309734,0.204933921391122,0.006570415013732067,0.0
eeg_1back_native,eeg,,1back,no_information,no_information_prior,20260707,0,fixed_0_5,3,0.5,237,74,163,0.5,0.31223628691983124,0.5,0.40750000000000003,0.0,1.0,0.6877637130801688,0.2153372711690054,0.02434097612375713,0.0
eeg_1back_native,eeg,,1back,no_information,no_information_prior,20260707,0,inner_cv,3,0.5,237,74,163,0.5,0.31223628691983124,0.5,0.40750000000000003,0.0,1.0,0.6877637130801688,0.2153372711690054,0.02434097612375713,0.0
eeg_1back_native,eeg,,1back,no_information,no_information_prior,20260707,0,fixed_0_5,4,0.5,231,69,162,0.5,0.2987012987012987,0.5,0.4122137404580153,0.0,1.0,0.7012987012987013,0.20953154546916467,0.0072603452885143804,0.0
eeg_1back_native,eeg,,1back,no_information,no_information_prior,20260707,0,inner_cv,4,0.5,231,69,162,0.5,0.2987012987012987,0.5,0.4122137404580153,0.0,1.0,0.7012987012987013,0.20953154546916467,0.0072603452885143804,0.0
eeg_1back_native,eeg,,1back,demographics,logistic_regression,20260707,4,fixed_0_5,0,0.5,230,72,158,0.6220552039381154,0.4026450002606562,0.5840365682137834,0.557727022996625,0.6111111111111112,0.5569620253164557,0.5739130434782609,0.24068380336417916,0.1837060611459408,0.4956521739130435
eeg_1back_native,eeg,,1back,demographics,logistic_regression,20260707,4,inner_cv,0,0.5,230,72,158,0.6220552039381154,0.4026450002606562,0.5840365682137834,0.557727022996625,0.6111111111111112,0.5569620253164557,0.5739130434782609,0.24068380336417916,0.1837060611459408,0.4956521739130435
eeg_1back_native,eeg,,1back,demographics,logistic_regression,20260707,4,fixed_0_5,1,0.5,230,58,172,0.5735765838011226,0.2992832512629618,0.5806936647955092,0.5321342973958229,0.6206896551724138,0.5406976744186046,0.5608695652173913,0.24241961086739142,0.22825596372024265,0.5
eeg_1back_native,eeg,,1back,demographics,logistic_regression,20260707,4,inner_cv,1,0.5,230,58,172,0.5735765838011226,0.2992832512629618,0.5806936647955092,0.5321342973958229,0.6206896551724138,0.5406976744186046,0.5608695652173913,0.24241961086739142,0.22825596372024265,0.5
eeg_1back_native,eeg,,1back,demographics,logistic_regression,20260707,4,fixed_0_5,2,0.5,226,65,161,0.5876731963688485,0.3687317963122663,0.5687052078356427,0.5384424961320269,0.5846153846153846,0.5527950310559007,0.5619469026548672,0.24508025565140873,0.21111835271717858,0.48672566371681414
eeg_1back_native,eeg,,1back,demographics,logistic_regression,20260707,4,inner_cv,2,0.5,226,65,161,0.5876731963688485,0.3687317963122663,0.5687052078356427,0.5384424961320269,0.5846153846153846,0.5527950310559007,0.5619469026548672,0.24508025565140873,0.21111835271717858,0.48672566371681414
eeg_1back_native,eeg,,1back,demographics,logistic_regression,20260707,4,fixed_0_5,3,0.5,237,74,163,0.63969490963356,0.45219345118759435,0.6083568230807495,0.5841173835125448,0.6216216216216216,0.5950920245398773,0.6033755274261603,0.2380095009170318,0.17812523560098042,0.47257383966244726
eeg_1back_native,eeg,,1back,demographics,logistic_regression,20260707,4,inner_cv,3,0.5,237,74,163,0.63969490963356,0.45219345118759435,0.6083568230807495,0.5841173835125448,0.6216216216216216,0.5950920245398773,0.6033755274261603,0.2380095009170318,0.17812523560098042,0.47257383966244726
eeg_1back_native,eeg,,1back,demographics,logistic_regression,20260707,4,fixed_0_5,4,0.5,231,69,162,0.5790391841116479,0.350012265037041,0.595679012345679,0.5543981481481481,0.6666666666666666,0.5246913580246914,0.5670995670995671,0.2451442675571073,0.1984850892637633,0.5324675324675324
eeg_1back_native,eeg,,1back,demographics,logistic_regression,20260707,4,inner_cv,4,0.45,231,69,162,0.5790391841116479,0.350012265037041,0.5641438539989265,0.4761512079014937,0.782608695652174,0.345679012345679,0.47619047619047616,0.2451442675571073,0.1984850892637633,0.6926406926406926
eeg_1back_native,eeg,,1back,demographics,random_forest,20260707,4,fixed_0_5,0,0.5,230,72,158,0.5885636427566807,0.38732033397568233,0.5644338959212376,0.5374763271442238,0.5972222222222222,0.5316455696202531,0.5521739130434783,0.2420578023208477,0.17238168267884635,0.508695652173913
eeg_1back_native,eeg,,1back,demographics,random_forest,20260707,4,inner_cv,0,0.6,230,72,158,0.5885636427566807,0.38732033397568233,0.5447433192686357,0.5215493246608655,0.1527777777777778,0.9367088607594937,0.691304347826087,0.2420578023208477,0.17238168267884635,0.09130434782608696
eeg_1back_native,eeg,,1back,demographics,random_forest,20260707,4,fixed_0_5,1,0.5,230,58,172,0.5514234161988774,0.3142233987532824,0.5487169206094628,0.49275362318840576,0.6206896551724138,0.47674418604651164,0.5130434782608696,0.24646745195891928,0.2305914434270169,0.5478260869565217
eeg_1back_native,eeg,,1back,demographics,random_forest,20260707,4,inner_cv,1,0.45,230,58,172,0.5514234161988774,0.3142233987532824,0.5429029671210907,0.4855191900164822,0.6206896551724138,0.46511627906976744,0.5043478260869565,0.24646745195891928,0.2305914434270169,0.5565217391304348
eeg_1back_native,eeg,,1back,demographics,random_forest,20260707,4,fixed_0_5,2,0.5,226,65,161,0.535260391782131,0.30372499037415585,0.5345437171524128,0.4975341579755842,0.5846153846153846,0.484472049689441,0.5132743362831859,0.25020464775682444,0.20149047979265536,0.5353982300884956
eeg_1back_native,eeg,,1back,demographics,random_forest,20260707,4,inner_cv,2,0.45,226,65,161,0.535260391782131,0.30372499037415585,0.5388437649307214,0.48087128712871285,0.6615384615384615,0.4161490683229814,0.48672566371681414,0.25020464775682444,0.20149047979265536,0.6061946902654868
eeg_1back_native,eeg,,1back,demographics,random_forest,20260707,4,fixed_0_5,3,0.5,237,74,163,0.6106781628254021,0.4025848761876076,0.589330127673686,0.5644110275689223,0.6081081081081081,0.5705521472392638,0.5822784810126582,0.23908992886165287,0.1713226767194003,0.48523206751054854
eeg_1back_native,eeg,,1back,demographics,random_forest,20260707,4,inner_cv,3,0.5,237,74,163,0.6106781628254021,0.4025848761876076,0.589330127673686,0.5644110275689223,0.6081081081081081,0.5705521472392638,0.5822784810126582,0.23908992886165287,0.1713226767194003,0.48523206751054854
eeg_1back_native,eeg,,1back,demographics,random_forest,20260707,4,fixed_0_5,4,0.5,231,69,162,0.5795312220432994,0.3500014053362078,0.5885668276972624,0.5376565448618973,0.6956521739130435,0.48148148148148145,0.5454545454545454,0.243706252250639,0.1935220108319491,0.5714285714285714
eeg_1back_native,eeg,,1back,demographics,random_forest,20260707,4,inner_cv,4,0.45,231,69,162,0.5795312220432994,0.3500014053362078,0.5568974771873323,0.4717723796671165,0.7681159420289855,0.345679012345679,0.47186147186147187,0.243706252250639,0.1935220108319491,0.6883116883116883
eeg_1back_native,eeg,,1back,demographics,hist_gradient_boosting,20260707,4,fixed_0_5,0,0.5,230,72,158,0.5762570323488045,0.3502169412719792,0.5120428973277075,0.498015873015873,0.4861111111111111,0.5379746835443038,0.5217391304347826,0.24517953140645768,0.1838900376005812,0.46956521739130436
eeg_1back_native,eeg,,1back,demographics,hist_gradient_boosting,20260707,4,inner_cv,0,0.5,230,72,158,0.5762570323488045,0.3502169412719792,0.5120428973277075,0.498015873015873,0.4861111111111111,0.5379746835443038,0.5217391304347826,0.24517953140645768,0.1838900376005812,0.46956521739130436
eeg_1back_native,eeg,,1back,demographics,hist_gradient_boosting,20260707,4,fixed_0_5,1,0.5,230,58,172,0.5457598235765837,0.29097562586362846,0.5748797113071371,0.5250125313283208,0.6206896551724138,0.5290697674418605,0.5521739130434783,0.2448487910654386,0.23900431073974954,0.508695652173913
eeg_1back_native,eeg,,1back,demographics,hist_gradient_boosting,20260707,4,inner_cv,1,0.5,230,58,172,0.5457598235765837,0.29097562586362846,0.5748797113071371,0.5250125313283208,0.6206896551724138,0.5290697674418605,0.5521739130434783,0.2448487910654386,0.23900431073974954,0.508695652173913
eeg_1back_native,eeg,,1back,demographics,hist_gradient_boosting,20260707,4,fixed_0_5,2,0.5,226,65,161,0.5595795508838987,0.31698955160230546,0.5528905876731964,0.5033165507871813,0.6461538461538462,0.45962732919254656,0.5132743362831859,0.24724708325045797,0.21060120433834048,0.5707964601769911
eeg_1back_native,eeg,,1back,demographics,hist_gradient_boosting,20260707,4,inner_cv,2,0.5,226,65,161,0.5595795508838987,0.31698955160230546,0.5528905876731964,0.5033165507871813,0.6461538461538462,0.45962732919254656,0.5132743362831859,0.24724708325045797,0.21060120433834048,0.5707964601769911
