L_id,task,status,reason,duration_sec,n_events,n_constructed,n_kept,construction_drops,n_trials_code_11,n_trials_code_22
L765,oddball,ok,,641.0,145,145,132,0,111,21
L769,oddball,ok,,644.0,145,145,145,0,120,25
L785,oddball,ok,,640.0,147,147,144,0,119,25
L786,oddball,ok,,743.0,145,145,145,0,122,23
L788,oddball,ok,,639.0,147,147,146,0,122,24
L795,oddball,ok,,649.0,149,149,149,0,124,25
L808,oddball,ok,,656.0,144,144,57,0,46,11
L827,oddball,ok,,639.0,150,150,111,0,91,20
L83,oddball,ok,,646.0,103,103,93,0,78,15
L853,oddball,ok,,646.0,145,145,66,0,49,17
L871,oddball,ok,,641.0,148,148,142,0,117,25
L104,oddball,ok,,668.0,140,140,140,0,117,23
L118,oddball,ok,,644.0,145,145,141,0,116,25
L12,oddball,ok,,636.0,150,150,123,0,103,20
L124,oddball,ok,,669.0,120,120,118,0,98,20
L135,oddball,ok,,642.0,147,147,146,0,123,23
L1355,oddball,ok,,647.0,144,144,140,0,118,22
L1362,oddball,ok,,645.0,149,149,142,0,117,25
L1376,oddball,ok,,665.0,147,147,138,0,114,24
L1378,oddball,ok,,662.0,148,148,114,0,97,17
L1380,oddball,ok,,640.0,149,149,86,0,71,15
L1383,oddball,ok,,622.0,144,144,141,0,119,22
L1387,oddball,ok,,648.0,146,146,143,0,119,24
L1389,oddball,ok,,641.0,147,147,137,0,115,22
L1392,oddball,ok,,647.0,148,148,142,0,118,24
L1393,oddball,ok,,635.0,101,101,93,0,77,16
L1406,oddball,ok,,663.0,148,148,133,0,110,23
L1410,oddball,ok,,647.0,147,147,145,0,122,23
L1433,oddball,ok,,651.0,147,147,136,0,113,23
L1442,oddball,ok,,646.0,146,146,136,0,112,24
L1454,oddball,ok,,640.0,150,150,128,0,107,21
L1456,oddball,ok,,650.0,145,145,133,0,109,24
L1468,oddball,ok,,649.0,141,141,136,0,113,23
L1474,oddball,ok,,636.0,149,149,125,0,105,20
L151,oddball,ok,,650.0,141,141,141,0,118,23
L1514,oddball,ok,,649.0,143,143,84,0,67,17
L1516,oddball,ok,,641.0,147,147,130,0,110,20
L153,oddball,ok,,641.0,147,147,141,0,117,24
L1543,oddball,ok,,638.0,148,148,143,0,118,25
L1545,oddball,ok,,778.0,150,150,140,0,117,23
L1552,oddball,ok,,640.0,148,148,144,0,119,25
L1557,oddball,ok,,645.0,145,145,138,0,114,24
L1564,oddball,ok,,630.0,150,150,126,0,103,23
L157,oddball,ok,,646.0,147,147,140,0,118,22
L1576,oddball,ok,,639.0,148,148,135,0,113,22
L1585,oddball,ok,,766.0,120,120,99,0,83,16
L1601,oddball,ok,,662.0,147,147,146,0,121,25
L1608,oddball,ok,,635.0,148,148,145,0,122,23
L1609,oddball,ok,,641.0,146,146,126,0,106,20
L161,oddball,ok,,640.0,147,147,147,0,122,25
L162,oddball,ok,,641.0,149,149,149,0,124,25
L1625,oddball,ok,,650.0,148,148,56,0,49,7
L1633,oddball,ok,,640.0,149,149,128,0,110,18
L1645,oddball,ok,,645.0,145,145,145,0,121,24
L1654,oddball,ok,,642.0,144,144,116,0,96,20
L167,oddball,ok,,639.0,146,146,146,0,121,25
L1681,oddball,ok,,690.0,147,147,145,0,120,25
L1683,oddball,ok,,638.0,149,149,148,0,124,24
L1685,oddball,ok,,640.0,149,149,141,0,118,23
L169,oddball,ok,,646.0,147,147,132,0,110,22
L1701,oddball,ok,,669.0,138,138,137,0,114,23
L1710,oddball,ok,,690.0,137,137,126,0,106,20
L1718,oddball,ok,,646.0,141,141,129,0,106,23
L173,oddball,ok,,656.0,148,148,136,0,113,23
L1743,oddball,ok,,643.0,149,149,148,0,123,25
L1744,oddball,ok,,691.0,149,149,148,0,123,25
L1745,oddball,ok,,641.0,146,146,130,0,106,24
L1750,oddball,ok,,642.0,149,149,148,0,124,24
L1756,oddball,ok,,637.0,149,149,142,0,117,25
L1758,oddball,ok,,639.0,149,149,146,0,122,24
L176,oddball,ok,,657.0,150,150,144,0,119,25
L1764,oddball,ok,,639.0,148,148,141,0,118,23
L1765,oddball,ok,,639.0,149,149,145,0,120,25
L1770,oddball,ok,,642.0,145,145,105,0,87,18
L1777,oddball,ok,,665.0,148,148,143,0,120,23
L1778,oddball,ok,,642.0,148,148,121,0,100,21
L1782,oddball,ok,,639.0,148,148,107,0,89,18
L1783,oddball,ok,,639.0,148,148,143,0,118,25
L1789,oddball,ok,,651.0,148,148,138,0,115,23
L1795,oddball,ok,,615.0,146,146,124,0,105,19
L1829,oddball,ok,,639.0,148,148,134,0,114,20
L1832,oddball,ok,,646.0,146,146,136,0,114,22
L1837,oddball,ok,,613.0,145,145,143,0,120,23
L1838,oddball,ok,,648.0,146,146,116,0,94,22
L1839,oddball,ok,,644.0,147,147,131,0,109,22
L1840,oddball,ok,,707.0,150,150,122,0,101,21
L1871,oddball,ok,,621.0,141,141,141,0,118,23
L1877,oddball,ok,,644.0,146,146,144,0,122,22
L1881,oddball,ok,,636.0,150,150,150,0,125,25
L1884,oddball,ok,,685.0,122,122,116,0,97,19
L189,oddball,ok,,658.0,128,128,127,0,107,20
L1892,oddball,ok,,639.0,149,149,99,0,81,18
L1895,oddball,ok,,650.0,144,144,102,0,83,19
L1908,oddball,ok,,643.0,146,146,145,0,122,23
L203,oddball,ok,,652.0,147,147,120,0,101,19
L209,oddball,ok,,645.0,146,146,146,0,121,25
L219,oddball,ok,,651.0,147,147,142,0,117,25
L250,oddball,ok,,639.0,147,147,140,0,118,22
L2510,oddball,ok,,639.0,149,149,136,0,112,24
L2517,oddball,ok,,644.0,147,147,145,0,123,22
L2551,oddball,ok,,666.0,149,149,146,0,121,25
L2557,oddball,ok,,652.0,147,147,133,0,111,22
L2559,oddball,ok,,640.0,148,148,147,0,122,25
L2567,oddball,ok,,643.0,147,147,127,0,107,20
L2574,oddball,ok,,642.0,148,148,119,0,97,22
L2584,oddball,ok,,648.0,145,145,145,0,120,25
L2593,oddball,ok,,639.0,148,148,126,0,101,25
L2595,oddball,ok,,638.0,149,149,119,0,98,21
L2605,oddball,ok,,699.0,149,149,141,0,116,25
L2610,oddball,ok,,645.0,145,145,144,0,121,23
L2630,oddball,ok,,640.0,147,147,146,0,122,24
L2631,oddball,ok,,646.0,147,147,146,0,122,24
L2636,oddball,ok,,639.0,148,148,142,0,117,25
L2651,oddball,ok,,686.0,147,147,124,0,109,15
L2652,oddball,ok,,674.0,146,146,145,0,121,24
L2659,oddball,ok,,638.0,147,147,122,0,101,21
L2676,oddball,ok,,647.0,147,147,143,0,121,22
L2678,oddball,ok,,660.0,149,149,148,0,124,24
L2683,oddball,ok,,645.0,146,146,145,0,120,25
L2689,oddball,ok,,641.0,149,149,131,0,110,21
L2705,oddball,ok,,647.0,147,147,146,0,123,23
L2708,oddball,ok,,650.0,142,142,124,0,105,19
L2709,oddball,ok,,637.0,148,148,96,0,81,15
L2711,oddball,ok,,640.0,147,147,127,0,106,21
L2712,oddball,ok,,646.0,144,144,132,0,110,22
L2716,oddball,ok,,636.0,149,149,143,0,119,24
L2728,oddball,ok,,647.0,142,142,133,0,110,23
L2729,oddball,ok,,646.0,147,147,147,0,124,23
L2743,oddball,ok,,645.0,147,147,132,0,108,24
L2746,oddball,ok,,639.0,148,148,117,0,97,20
L275,oddball,ok,,640.0,148,148,68,0,57,11
L2758,oddball,ok,,640.0,148,148,135,0,113,22
L2771,oddball,ok,,641.0,149,149,136,0,111,25
L2782,oddball,ok,,709.0,148,148,134,0,110,24
L2783,oddball,ok,,644.0,144,144,143,0,121,22
L2785,oddball,ok,,641.0,145,145,145,0,120,25
L2792,oddball,ok,,645.0,143,143,142,0,117,25
L2793,oddball,ok,,637.0,148,148,148,0,123,25
L2802,oddball,ok,,638.0,148,148,136,0,112,24
L2809,oddball,ok,,644.0,143,143,128,0,106,22
L281,oddball,ok,,640.0,148,148,139,0,116,23
L2817,oddball,ok,,638.0,149,149,134,0,112,22
L2835,oddball,ok,,638.0,148,148,141,0,116,25
L2840,oddball,ok,,637.0,149,149,145,0,120,25
L2849,oddball,ok,,732.0,101,101,100,0,85,15
L2855,oddball,ok,,672.0,120,120,112,0,93,19
L2876,oddball,ok,,636.0,149,149,149,0,124,25
L2879,oddball,ok,,649.0,143,143,140,0,116,24
L2880,oddball,ok,,638.0,148,148,147,0,123,24
L2893,oddball,ok,,638.0,149,149,149,0,124,25
L2899,oddball,ok,,638.0,148,148,119,0,100,19
L2917,oddball,ok,,645.0,146,146,145,0,122,23
L2920,oddball,ok,,645.0,146,146,112,0,91,21
L2935,oddball,ok,,639.0,148,148,122,0,103,19
L2943,oddball,ok,,643.0,145,145,145,0,120,25
L2945,oddball,ok,,645.0,144,144,95,0,79,16
L2953,oddball,ok,,648.0,144,144,130,0,106,24
L2954,oddball,ok,,642.0,147,147,112,0,94,18
L2971,oddball,ok,,640.0,147,147,145,0,121,24
L2984,oddball,ok,,646.0,144,144,138,0,115,23
L2988,oddball,ok,,641.0,148,148,135,0,112,23
L3007,oddball,ok,,640.0,147,147,121,0,96,25
L3021,oddball,ok,,674.0,122,122,93,0,77,16
L3028,oddball,ok,,642.0,146,146,134,0,109,25
L304,oddball,ok,,658.0,146,146,132,0,111,21
L3057,oddball,ok,,642.0,149,149,145,0,122,23
L3058,oddball,ok,,715.0,149,149,149,0,124,25
L3092,oddball,ok,,637.0,149,149,120,0,97,23
