cv_protocol,cohort_name,modality,device,task,feature_set,model,seed,threshold_type,metric,ci_low,ci_high,n_bootstrap
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,mean,fixed_0_5,auprc,0.37806859335632326,0.45183056139424266,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,mean,fixed_0_5,brier_score,0.22906406678828595,0.23902891178075364,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,mean,fixed_0_5,ece,0.1014419296515969,0.14222195052490122,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,mean,fixed_0_5,balanced_accuracy,0.5407521481286661,0.5870462591600728,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,mean,fixed_0_5,macro_f1,0.5409597414188836,0.5871672563685744,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,mean,fixed_0_5,sensitivity,0.38055870711717593,0.45898785241217566,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,mean,fixed_0_5,specificity,0.6835233838497833,0.7319642094838037,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,mean,fixed_0_5,accuracy,0.589010989010989,0.6335302197802197,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,mean,fixed_0_5,positive_prediction_rate,0.3137225274725275,0.3554945054945055,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,mean,inner_cv,auroc,0.5638452158623224,0.6196720401202123,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,mean,inner_cv,auprc,0.37806859335632326,0.45183056139424266,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,mean,inner_cv,brier_score,0.22906406678828595,0.23902891178075364,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,mean,inner_cv,ece,0.1014419296515969,0.14222195052490122,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,mean,inner_cv,balanced_accuracy,0.5451333263313382,0.5946789961795875,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,mean,inner_cv,macro_f1,0.539968009259541,0.5861470388119102,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,mean,inner_cv,sensitivity,0.4764956415853219,0.558145437374572,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,mean,inner_cv,specificity,0.5993299759259859,0.6526748971193416,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,mean,inner_cv,accuracy,0.5659340659340659,0.610989010989011,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,mean,inner_cv,positive_prediction_rate,0.39943681318681323,0.4434203296703296,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__standard_only__mean_std__none,0,fixed_0_5,auroc,0.5537089683591714,0.6098451984808343,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__standard_only__mean_std__none,0,fixed_0_5,auprc,0.3768600419330481,0.45343601177469445,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__standard_only__mean_std__none,0,fixed_0_5,brier_score,0.23922114141062803,0.24797809203600957,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__standard_only__mean_std__none,0,fixed_0_5,ece,0.13304037773212551,0.17463377932246044,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__standard_only__mean_std__none,0,fixed_0_5,balanced_accuracy,0.5418801094852725,0.5916653127140539,1000
