cv_protocol,cohort_name,modality,device,task,feature_set,model,n_seeds,auroc_seed_mean,auroc_seed_std,auroc_seed_min,auroc_seed_max
standard_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__target_only__mean_std__none,3,0.5957575757575757,0.00859149231183371,0.5868730524319197,0.6040224901774827
standard_cv,eeg_oddball_goal3,eeg,,oddball,demographics,eegnet__condition_aware__attention__none,3,0.5957575757575757,0.00859149231183371,0.5868730524319197,0.6040224901774827
standard_cv,eeg_oddball_goal3,eeg,,oddball,demographics,eegnet__condition_aware__mean_std__none,3,0.5957575757575757,0.00859149231183371,0.5868730524319197,0.6040224901774827
standard_cv,eeg_oddball_goal3,eeg,,oddball,demographics,eegnet__condition_aware__mean_std__robust_z,3,0.5957575757575757,0.00859149231183371,0.5868730524319197,0.6040224901774827
standard_cv,eeg_oddball_goal3,eeg,,oddball,demographics,eegnet__difference_wave__mean_std__none,3,0.5957575757575757,0.00859149231183371,0.5868730524319197,0.6040224901774827
standard_cv,eeg_oddball_goal3,eeg,,oddball,demographics,eegnet__standard_only__mean_std__none,3,0.5957575757575757,0.00859149231183371,0.5868730524319197,0.6040224901774827
standard_cv,eeg_oddball_goal3,eeg,,oddball,demographics,eegnet__target_only__mean_std__none,3,0.5957575757575757,0.00859149231183371,0.5868730524319197,0.6040224901774827
standard_cv,eeg_oddball_goal3,eeg,,oddball,demographics,inceptiontime__condition_aware__mean_std__none,3,0.5957575757575757,0.00859149231183371,0.5868730524319197,0.6040224901774827
standard_cv,eeg_oddball_goal3,eeg,,oddball,demographics,inceptiontime__difference_wave__mean_std__none,3,0.5957575757575757,0.00859149231183371,0.5868730524319197,0.6040224901774827
standard_cv,eeg_oddball_goal3,eeg,,oddball,demographics,inceptiontime__standard_only__mean_std__none,3,0.5957575757575757,0.00859149231183371,0.5868730524319197,0.6040224901774827
standard_cv,eeg_oddball_goal3,eeg,,oddball,demographics,inceptiontime__target_only__mean_std__none,3,0.5957575757575757,0.00859149231183371,0.5868730524319197,0.6040224901774827
standard_cv,eeg_oddball_goal3,eeg,,oddball,demographics_eeg_deep,conformer__condition_aware__mean_std__none,3,0.6006783182043987,0.003620340516455911,0.5972266630537868,0.6044465519577292
standard_cv,eeg_oddball_goal3,eeg,,oddball,demographics_eeg_deep,conformer__difference_wave__mean_std__none,3,0.6014573454364811,0.003915308200614337,0.5972686627828208,0.6050250643544235
standard_cv,eeg_oddball_goal3,eeg,,oddball,demographics_eeg_deep,conformer__standard_only__mean_std__none,3,0.6014483132366889,0.004204628534400977,0.5969543422300502,0.6052865465384095
standard_cv,eeg_oddball_goal3,eeg,,oddball,demographics_eeg_deep,conformer__target_only__mean_std__none,3,0.6013593460687351,0.0030862138524274047,0.598032786885246,0.604129521745021
standard_cv,eeg_oddball_goal3,eeg,,oddball,demographics_eeg_deep,eegnet__condition_aware__attention__none,3,0.6042844239714583,0.006181270692800151,0.5988429752066116,0.6110052838368786
standard_cv,eeg_oddball_goal3,eeg,,oddball,demographics_eeg_deep,eegnet__condition_aware__mean_std__none,3,0.6013747008083818,0.005323789895957612,0.5966928600460641,0.607165695705189
standard_cv,eeg_oddball_goal3,eeg,,oddball,demographics_eeg_deep,eegnet__condition_aware__mean_std__robust_z,3,0.6029666260217676,0.005320435285298881,0.599773743395204,0.6091085218805041
standard_cv,eeg_oddball_goal3,eeg,,oddball,demographics_eeg_deep,eegnet__difference_wave__mean_std__none,3,0.6006019961161541,0.004301670351600486,0.5958406719956646,0.6042081018832137
standard_cv,eeg_oddball_goal3,eeg,,oddball,demographics_eeg_deep,eegnet__standard_only__mean_std__none,3,0.6014618615363773,0.0044282689552768055,0.596761956374475,0.6055561577022084
standard_cv,eeg_oddball_goal3,eeg,,oddball,demographics_eeg_deep,eegnet__target_only__mean_std__none,3,0.6019667615047645,0.003886434637375043,0.5980639479745292,0.605836607505758
standard_cv,eeg_oddball_goal3,eeg,,oddball,demographics_eeg_deep,inceptiontime__condition_aware__mean_std__none,3,0.601431603667073,0.0048324341396343866,0.5969692453597073,0.6065641511990245
standard_cv,eeg_oddball_goal3,eeg,,oddball,demographics_eeg_deep,inceptiontime__difference_wave__mean_std__none,3,0.6007767691821343,0.004172558332083678,0.5965058935103644,0.6048435171385991
standard_cv,eeg_oddball_goal3,eeg,,oddball,demographics_eeg_deep,inceptiontime__standard_only__mean_std__none,3,0.6019414713453463,0.0025491913438717177,0.5990705866413766,0.6039398455493836
standard_cv,eeg_oddball_goal3,eeg,,oddball,demographics_eeg_deep,inceptiontime__target_only__mean_std__none,3,0.6003396107121889,0.00394319354173231,0.5965871833084947,0.604449261617667
standard_cv,eeg_oddball_goal3,eeg,,oddball,demographics_eeg_traditional,conformer__condition_aware__mean_std__none,3,0.6006927697240663,0.0051677962973925825,0.5975640157160277,0.6066576344668745
standard_cv,eeg_oddball_goal3,eeg,,oddball,demographics_eeg_traditional,conformer__difference_wave__mean_std__none,3,0.6006927697240663,0.0051677962973925825,0.5975640157160277,0.6066576344668745
