L_id,task,status,error,windows,rejected_windows
L3517,rest,ok,,58,7
L3518,rest,ok,,99,17
L3519,rest,ok,,65,2
L3520,rest,ok,,48,15
L3522,rest,ok,,51,15
L3528,rest,ok,,60,8
L3529,rest,ok,,68,19
L353,rest,ok,,48,15
L3530,rest,ok,,63,1
L3531,rest,ok,,57,6
L3532,rest,ok,,64,1
L3533,rest,ok,,63,4
L3534,rest,ok,,63,2
L3535,rest,ok,,26,38
L3536,rest,ok,,84,6
L3539,rest,ok,,43,21
L354,rest,ok,,44,21
L3540,rest,ok,,60,2
L3542,rest,ok,,58,4
L3543,rest,ok,,60,8
L3544,rest,ok,,44,18
L3545,rest,ok,,55,9
L3547,rest,ok,,67,0
L3548,rest,ok,,61,1
L3550,rest,ok,,59,10
L3551,rest,ok,,65,1
L3552,rest,ok,,43,25
L3553,rest,ok,,61,0
L3554,rest,ok,,51,14
L3555,rest,ok,,83,0
L3557,rest,ok,,59,5
L3559,rest,ok,,59,3
L356,rest,ok,,55,9
L3560,rest,ok,,61,2
L3561,rest,ok,,41,23
L3562,rest,ok,,19,43
L3563,rest,ok,,57,5
L3564,rest,ok,,41,24
L3565,rest,ok,,81,3
L3566,rest,ok,,53,9
L3567,rest,ok,,46,23
L3568,rest,ok,,57,5
L3569,rest,ok,,61,3
L357,rest,ok,,56,10
L3570,rest,ok,,49,13
L3571,rest,ok,,61,2
L3572,rest,ok,,59,4
L3573,rest,ok,,63,0
L3574,rest,ok,,63,1
L3575,rest,ok,,68,0
L3577,rest,ok,,60,8
L3578,rest,ok,,48,13
L3579,rest,ok,,33,31
L3580,rest,ok,,56,6
L3581,rest,ok,,53,9
L3582,rest,ok,,64,0
L3583,rest,ok,,55,14
L3584,rest,ok,,64,0
L3585,rest,ok,,75,7
L3586,rest,ok,,59,3
L3587,rest,ok,,57,6
L3588,rest,ok,,52,15
L3589,rest,ok,,69,3
L359,rest,ok,,69,6
L3590,rest,ok,,16,40
L3591,rest,ok,,52,12
L3592,rest,ok,,56,5
L3594,rest,ok,,61,7
L3595,rest,ok,,64,0
L3597,rest,ok,,58,17
L3598,rest,ok,,52,21
L3599,rest,ok,,43,19
L3600,rest,ok,,60,2
L3602,rest,ok,,58,4
L3603,rest,ok,,64,0
L3604,rest,ok,,64,0
L3605,rest,ok,,55,11
L3606,rest,ok,,60,2
L3607,rest,ok,,62,3
L3608,rest,ok,,60,2
L3609,rest,ok,,96,15
L361,rest,ok,,72,7
L3610,rest,ok,,53,8
L3611,rest,ok,,90,5
L3613,rest,ok,,63,0
L3614,rest,ok,,61,6
L3616,rest,ok,,70,2
L3617,rest,ok,,60,1
L3618,rest,ok,,60,6
L3619,rest,ok,,111,15
L3620,rest,ok,,55,12
L4034,rest,ok,,60,6
L4054,rest,ok,,61,7
L4061,rest,ok,,56,9
L4077,rest,ok,,57,7
L4078,rest,ok,,93,3
L4080,rest,ok,,52,13
L4081,rest,ok,,54,25
L4082,rest,ok,,64,2
L4083,rest,ok,,65,1
L4084,rest,ok,,32,32
L4085,rest,ok,,64,1
L4086,rest,ok,,59,15
L4087,rest,ok,,52,12
L4094,rest,ok,,31,51
L4095,rest,ok,,52,13
L4096,rest,ok,,44,24
L4098,rest,ok,,57,8
L4099,rest,ok,,41,23
L4100,rest,ok,,67,17
L4101,rest,ok,,25,46
L4102,rest,ok,,42,26
L4103,rest,ok,,62,8
L4105,rest,ok,,61,13
L4108,rest,ok,,56,6
L411,rest,ok,,48,15
L4110,rest,fail,no_valid_windows,0,66
L4111,rest,ok,,58,10
L4112,rest,fail,no_valid_windows,0,75
L4114,rest,ok,,49,25
L4115,rest,ok,,63,3
L414,rest,ok,,50,37
L415,rest,ok,,50,20
L416,rest,ok,,53,23
L417,rest,ok,,65,13
L418,rest,ok,,63,0
L419,rest,ok,,72,15
L421,rest,ok,,35,27
L423,rest,ok,,44,21
L426,rest,ok,,56,17
L428,rest,ok,,60,4
L429,rest,ok,,54,8
L430,rest,ok,,46,17
L431,rest,ok,,55,8
L432,rest,ok,,43,28
L434,rest,ok,,58,3
L435,rest,ok,,48,14
L436,rest,ok,,56,5
L437,rest,ok,,62,9
L438,rest,ok,,29,33
L439,rest,ok,,49,38
L4401,rest,ok,,47,22
L4402,rest,ok,,61,4
L4403,rest,ok,,59,4
L4404,rest,ok,,59,7
L4406,rest,ok,,49,15
L4408,rest,ok,,20,50
L4409,rest,ok,,37,24
L441,rest,ok,,58,7
L4414,rest,ok,,55,8
L443,rest,ok,,49,24
L444,rest,ok,,32,38
L445,rest,ok,,23,39
L446,rest,ok,,61,2
L447,rest,ok,,87,12
L448,rest,ok,,57,11
L4480,rest,ok,,46,16
L4481,rest,ok,,60,4
L4482,rest,ok,,44,24
L4483,rest,ok,,60,0
L4484,rest,ok,,55,11
