L_id,task,status,error,windows,rejected_windows
L34,1back,ok,,20,5
L340,1back,ok,,5,17
L3403,1back,ok,,15,10
L3406,1back,ok,,13,12
L3407,1back,ok,,8,17
L3409,1back,ok,,12,14
L3411,1back,ok,,15,10
L3414,1back,ok,,15,10
L3415,1back,ok,,5,20
L3422,1back,ok,,2,22
L3424,1back,ok,,20,4
L3425,1back,ok,,23,0
L3426,1back,ok,,7,16
L3427,1back,ok,,11,14
L3428,1back,ok,,17,8
L3429,1back,ok,,4,17
L3430,1back,ok,,19,3
L3431,1back,ok,,16,9
L3432,1back,ok,,6,19
L3433,1back,ok,,12,11
L3434,1back,ok,,15,10
L3435,1back,ok,,14,11
L3436,1back,ok,,9,6
L3437,1back,ok,,10,15
L3438,1back,ok,,4,16
L3439,1back,fail,no_valid_windows,0,25
L344,1back,ok,,13,10
L3441,1back,ok,,5,20
L3443,1back,ok,,6,16
L3444,1back,ok,,21,4
L3445,1back,ok,,16,8
L3446,1back,ok,,6,9
L3447,1back,ok,,10,15
L3448,1back,ok,,17,8
L345,1back,ok,,7,18
L3450,1back,ok,,4,21
L3452,1back,ok,,23,2
L3453,1back,ok,,22,1
L346,1back,ok,,8,18
L3463,1back,ok,,1,23
L3464,1back,ok,,15,9
L3465,1back,ok,,12,12
L3467,1back,ok,,9,17
L347,1back,fail,no_valid_windows,0,25
L3478,1back,fail,IndexError('list index out of range'),0,0
L3479,1back,ok,,2,23
L348,1back,ok,,18,7
L3481,1back,fail,no_valid_windows,0,25
L3486,1back,ok,,13,9
L3487,1back,ok,,17,8
L3488,1back,ok,,11,14
L349,1back,ok,,24,1
L3492,1back,ok,,18,6
L3493,1back,ok,,17,8
L3496,1back,ok,,3,21
L3497,1back,ok,,11,15
L3498,1back,ok,,8,17
L3499,1back,ok,,10,12
L350,1back,ok,,17,8
L3500,1back,ok,,16,8
L3501,1back,ok,,7,18
L3502,1back,ok,,14,5
L3503,1back,ok,,9,16
L3505,1back,ok,,13,11
L3506,1back,ok,,7,18
L3507,1back,ok,,16,9
L3509,1back,ok,,7,17
L3510,1back,ok,,2,21
L3512,1back,ok,,16,9
L3514,1back,ok,,18,8
L3516,1back,ok,,10,15
L3517,1back,ok,,24,0
L3518,1back,ok,,11,14
L3519,1back,ok,,19,3
L3520,1back,ok,,2,23
L3522,1back,ok,,1,24
L3528,1back,ok,,20,3
