rep,model,demographics,signal,diff
80,random_forest,0.5064756944444445,0.5556423611111111,0.04916666666666658
80,hist_gradient_boosting,0.49732638888888886,0.566232638888889,0.06890625000000011
81,random_forest,0.47854166666666664,0.47578125,-0.002760416666666654
81,hist_gradient_boosting,0.4738020833333334,0.46840277777777783,-0.005399305555555567
82,random_forest,0.47673611111111114,0.5602256944444444,0.08348958333333323
82,hist_gradient_boosting,0.4693576388888888,0.5627604166666668,0.09340277777777795
83,random_forest,0.5474826388888888,0.45046875000000003,-0.09701388888888879
83,hist_gradient_boosting,0.5249826388888889,0.45777777777777784,-0.06720486111111101
84,random_forest,0.5042534722222223,0.5235763888888889,0.019322916666666634
84,hist_gradient_boosting,0.4749305555555555,0.5676215277777777,0.09269097222222222
85,random_forest,0.5298611111111111,0.4999479166666667,-0.029913194444444402
85,hist_gradient_boosting,0.514375,0.48776041666666664,-0.026614583333333386
86,random_forest,0.4356597222222222,0.6206944444444444,0.18503472222222223
86,hist_gradient_boosting,0.44369791666666664,0.6010416666666667,0.15734375000000006
87,random_forest,0.48550347222222223,0.5728298611111111,0.08732638888888888
87,hist_gradient_boosting,0.4928819444444445,0.5410590277777778,0.048177083333333315
88,random_forest,0.47449652777777773,0.4911979166666667,0.016701388888888946
88,hist_gradient_boosting,0.4873611111111111,0.5178993055555555,0.030538194444444444
89,random_forest,0.5229513888888889,0.5385590277777778,0.01560763888888883
89,hist_gradient_boosting,0.5190972222222221,0.54265625,0.023559027777777852
90,random_forest,0.44210069444444444,0.5488541666666666,0.1067534722222222
90,hist_gradient_boosting,0.4464756944444444,0.5531944444444444,0.10671875000000003
91,random_forest,0.45612847222222225,0.5150868055555555,0.05895833333333328
91,hist_gradient_boosting,0.4122569444444444,0.5084722222222222,0.09621527777777783
92,random_forest,0.4022395833333333,0.5085243055555556,0.1062847222222223
92,hist_gradient_boosting,0.38769097222222226,0.5326909722222222,0.1449999999999999
93,random_forest,0.5124479166666667,0.5206770833333334,0.008229166666666732
93,hist_gradient_boosting,0.4930555555555555,0.5377951388888889,0.04473958333333333
94,random_forest,0.5160069444444445,0.5260243055555556,0.010017361111111067
94,hist_gradient_boosting,0.5396006944444445,0.5317534722222222,-0.007847222222222228
95,random_forest,0.5268055555555555,0.5736458333333333,0.04684027777777777
95,hist_gradient_boosting,0.5348784722222221,0.5812847222222223,0.046406250000000204
96,random_forest,0.6064756944444445,0.43489583333333337,-0.17157986111111112
96,hist_gradient_boosting,0.5997916666666666,0.48430555555555554,-0.11548611111111107
97,random_forest,0.5133506944444445,0.4553993055555555,-0.057951388888888955
97,hist_gradient_boosting,0.4956944444444445,0.4501215277777777,-0.045572916666666796
98,random_forest,0.45753472222222225,0.4681770833333334,0.010642361111111165
98,hist_gradient_boosting,0.45288194444444446,0.47322916666666665,0.020347222222222183
99,random_forest,0.4890104166666667,0.42027777777777775,-0.06873263888888897
99,hist_gradient_boosting,0.49468750000000006,0.45208333333333334,-0.04260416666666672
100,random_forest,0.5112847222222222,0.56265625,0.05137152777777776
100,hist_gradient_boosting,0.49512152777777774,0.5710069444444444,0.0758854166666667
