L_id,task,feature_status,feature_error,sfreq,n_epochs_total,n_epochs_good,bad_epoch_rate,n_channels_used,duration_sec_loaded
L464,rest,ok,,250.0,60,43,0.2833333333333333,32,301.996
L465,rest,ok,,250.0,64,43,0.328125,32,320.996
L466,rest,ok,,250.0,62,55,0.11290322580645162,32,311.996
L467,rest,ok,,250.0,66,58,0.12121212121212122,32,331.996
L471,rest,fail,too_few_good_epochs:17,250.0,66,17,0.7424242424242424,32,330.996
L476,rest,ok,,250.0,65,56,0.1384615384615384,32,326.996
L477,rest,ok,,250.0,64,47,0.265625,32,322.996
L478,rest,ok,,250.0,69,61,0.1159420289855072,32,345.996
L479,rest,ok,,250.0,64,60,0.0625,32,322.996
L480,rest,ok,,250.0,64,64,0.0,32,321.996
L481,rest,ok,,250.0,67,58,0.13432835820895528,32,335.996
L482,rest,ok,,250.0,72,71,0.01388888888888884,32,363.996
L487,rest,ok,,250.0,73,50,0.31506849315068497,32,368.996
L49,rest,ok,,250.0,60,48,0.19999999999999996,32,300.996
L491,rest,ok,,250.0,63,21,0.6666666666666667,32,316.996
L492,rest,ok,,250.0,61,44,0.2786885245901639,32,306.996
L493,rest,ok,,250.0,61,48,0.21311475409836067,32,306.996
L494,rest,ok,,250.0,66,56,0.1515151515151515,32,332.996
L495,rest,ok,,250.0,63,50,0.2063492063492064,32,315.996
L496,rest,ok,,250.0,71,22,0.6901408450704225,32,355.996
L497,rest,ok,,250.0,63,20,0.6825396825396826,32,316.996
L498,rest,ok,,250.0,63,23,0.6349206349206349,32,318.996
L499,rest,ok,,250.0,75,59,0.21333333333333337,32,374.996
L50,rest,ok,,250.0,70,39,0.44285714285714284,32,352.996
L500,rest,ok,,250.0,72,41,0.4305555555555556,32,361.996
L501,rest,ok,,250.0,74,38,0.4864864864864865,32,372.996
L502,rest,ok,,250.0,64,64,0.0,32,321.996
L504,rest,ok,,250.0,61,39,0.360655737704918,32,306.996
L505,rest,ok,,250.0,61,44,0.2786885245901639,32,307.996
L506,rest,ok,,250.0,62,56,0.09677419354838712,32,313.996
L507,rest,ok,,250.0,62,33,0.467741935483871,32,311.996
L508,rest,ok,,250.0,87,28,0.6781609195402298,32,434.996
L509,rest,ok,,250.0,64,40,0.375,32,322.996
L51,rest,ok,,250.0,62,33,0.467741935483871,32,313.996
L511,rest,ok,,250.0,76,52,0.3157894736842105,32,382.996
L512,rest,ok,,250.0,66,28,0.5757575757575757,32,330.996
L514,rest,fail,too_few_good_epochs:11,250.0,64,11,0.828125,32,320.996
L515,rest,ok,,250.0,62,52,0.16129032258064513,32,312.996
